Food,Serving,Calories,Health Quotient,Portions,Carbs (g),Protein (g),Fat (g),Vegetarian,Meal Category
Fettuccine Alfredo,210 g,240 cal,healthy,1 serving,42,21,21,Yes,"Vegetarian, Vegetarian High Protein"
Tiramisu,122 g,418 cal,junk,1 serving,24.4,12.2,12.2,Yes,Vegetarian
Tempura,192 g,228 cal,healthy,1 serving,38.4,19.2,19.2,Yes,"Vegetarian, Vegetarian High Protein"
Kimchi,287 g,271 cal,healthy,1 serving,57.4,28.7,28.7,Yes,"Vegetarian, Vegetarian High Protein"
Tomato Rice,216 g,362 cal,junk,1 serving,60.5,5.8,0.6,Yes,Vegetarian
Lemon Rice,184 g,437 cal,junk,1 serving,51.5,5,0.6,Yes,Vegetarian
Sorbet,202 g,511 cal,junk,1 serving,40.4,20.2,20.2,Yes,"Vegetarian, Vegetarian High Protein"
Veggie Pizza,280 g,286 cal,junk,1 serving,2.8,36.4,30.8,Yes,"Vegetarian, Vegetarian High Protein"
Wagyu Beef,233 g,262 cal,healthy,1 serving,0,60.6,39.6,No,"Non-Vegetarian, Non-Veg High Protein"
Chettinad Biryani,169 g,558 cal,junk,1 serving,33.8,16.9,16.9,Yes,"Vegetarian, Vegetarian High Protein"
Japchae,232 g,493 cal,junk,1 serving,46.4,23.2,23.2,Yes,"Vegetarian, Vegetarian High Protein"
Bouillabaisse,144 g,576 cal,junk,1 serving,28.8,14.4,14.4,Yes,Vegetarian
Uttapam,222 g,190 cal,healthy,1 serving,44.4,22.2,22.2,Yes,"Vegetarian, Vegetarian High Protein"
Rajma,132 g,326 cal,junk,1 serving,26.4,13.2,13.2,Yes,Vegetarian
Flan,168 g,151 cal,healthy,1 serving,33.6,16.8,16.8,Yes,"Vegetarian, Vegetarian High Protein"
Pumpkin Pie,119 g,488 cal,junk,1 serving,23.8,11.9,11.9,Yes,Vegetarian
Falooda,168 g,562 cal,junk,1 serving,33.6,16.8,16.8,Yes,"Vegetarian, Vegetarian High Protein"
Chicken Curry,209 g,397 cal,junk,1 serving,0,64.8,7.5,No,"Non-Vegetarian, Non-Veg High Protein"
Udon,144 g,240 cal,healthy,1 serving,28.8,14.4,14.4,Yes,Vegetarian
Lobster Thermidor,200 g,214 cal,healthy,1 serving,40,20,20,No,"Vegetarian, Vegetarian High Protein"
Fig and Goat Cheese Salad,218 g,289 cal,healthy,1 serving,43.6,21.8,21.8,Yes,"Vegetarian, Vegetarian High Protein"
Gazpacho,249 g,433 cal,junk,1 serving,49.8,24.9,24.9,Yes,"Vegetarian, Vegetarian High Protein"
Pongal,138 g,490 cal,junk,1 serving,27.6,13.8,13.8,Yes,Vegetarian
Artichoke Hearts,203 g,528 cal,junk,1 serving,40.6,20.3,20.3,Yes,"Vegetarian, Vegetarian High Protein"
Caprese Salad,399 g,260 cal,healthy,1 serving,79.8,39.9,39.9,Yes,"Vegetarian, Vegetarian High Protein"
Duck Confit,250 g,458 cal,junk,1 serving,50,25,25,Yes,"Vegetarian, Vegetarian High Protein"
Egg Roast,171 g,418 cal,junk,1 serving,1.7,22.2,18.8,No,"Non-Vegetarian, Non-Veg High Protein"
Cannoli,204 g,195 cal,healthy,1 serving,40.8,20.4,20.4,Yes,"Vegetarian, Vegetarian High Protein"
Pakora,140 g,172 cal,healthy,1 serving,28,14,14,Yes,Vegetarian
Chicken Korma,107 g,162 cal,healthy,1 serving,0,33.2,3.9,No,"Non-Vegetarian, Non-Veg High Protein"
Clams Casino,245 g,253 cal,healthy,1 serving,49,24.5,24.5,No,"Vegetarian, Vegetarian High Protein"
Nasi Goreng,236 g,399 cal,junk,1 serving,47.2,23.6,23.6,Yes,"Vegetarian, Vegetarian High Protein"
Chicken Noodle Soup,227 g,210 cal,healthy,1 serving,0,70.4,8.2,No,"Non-Vegetarian, Non-Veg High Protein"
Grilled Salmon,201 g,574 cal,best for you,1 serving,0,40.2,26.1,No,"Vegetarian, Vegetarian High Protein"
Halwa,216 g,541 cal,junk,1 serving,43.2,21.6,21.6,Yes,"Vegetarian, Vegetarian High Protein"
Misal Pav,275 g,159 cal,healthy,1 serving,55,27.5,27.5,Yes,"Vegetarian, Vegetarian High Protein"
Vegetable Biryani,194 g,452 cal,junk,1 serving,9.7,3.9,1,Yes,Vegetarian
Crème Brûlée,136 g,442 cal,junk,1 serving,27.2,13.6,13.6,Yes,Vegetarian
Khichdi,166 g,231 cal,healthy,1 serving,33.2,16.6,16.6,Yes,"Vegetarian, Vegetarian High Protein"
